name,company,year,selling_price,km_driven,fuel,transmission,owner
Maruti Swift Dzire VDI,Maruti,2014,450000,145500,Diesel,Manual,First Owner
Skoda Rapid 1.5 TDI,Skoda,2014,370000,120000,Diesel,Manual,Second Owner
Honda City 2017-2020 EXi,Honda,2006,158000,140000,Petrol,Manual,Third Owner
Hyundai i20 Sportz Diesel,Hyundai,2010,225000,127000,Diesel,Manual,First Owner
Maruti Swift VXI BSIII,Maruti,2007,130000,120000,Petrol,Manual,First Owner
Hyundai Xcent 1.2 VTVT,Hyundai,2017,440000,45000,Petrol,Manual,First Owner
Maruti Wagon R LXI,Maruti,2007,96000,175000,LPG,Manual,First Owner
Maruti 800 DX BSII,Maruti,2001,45000,5000,Petrol,Manual,Second Owner
Toyota Etios VXD,Toyota,2011,350000,90000,Diesel,Manual,First Owner
Ford Figo Diesel Celebration,Ford,2013,200000,169000,Diesel,Manual,First Owner
Renault Duster 110PS Diesel,Renault,2014,500000,68000,Diesel,Manual,Second Owner
Maruti Zen LX,Maruti,2005,92000,100000,Petrol,Manual,Second Owner
Maruti Swift Dzire VDi,Maruti,2009,280000,140000,Diesel,Manual,Second Owner
Maruti Swift 1.3 VXi,Maruti,2007,200000,80000,Petrol,Manual,Second Owner
Maruti Wagon R LXI,Maruti,2009,180000,90000,Petrol,Manual,Second Owner
Mahindra KUV 100 mFALCON,Mahindra,2016,400000,40000,Petrol,Manual,First Owner
Maruti Ertiga SHVS VDI,Maruti,2016,778000,70000,Diesel,Manual,Second Owner
Hyundai i20 1.4 CRDi,Hyundai,2012,500000,53000,Diesel,Manual,Second Owner
Maruti Alto LX,Maruti,2002,150000,80000,Petrol,Manual,Second Owner
Hyundai i20 2015-2017 Asta,Hyundai,2016,680000,100000,Diesel,Manual,First Owner
Mahindra Verito 1.5 D4,Mahindra,2011,174000,100000,Diesel,Manual,Second Owner
Honda WR-V i-DTEC VX,Honda,2017,950000,50000,Diesel,Manual,First Owner
Maruti Swift Dzire ZDI,Maruti,2015,525000,40000,Diesel,Manual,First Owner
Maruti SX4 ZDI,Maruti,2012,600000,72000,Diesel,Manual,First Owner
Tata Tigor 2017-2020 XZ,Tata,2018,500000,35000,Petrol,Manual,First Owner
Maruti Baleno Delta 1.2,Maruti,2016,575000,45000,Petrol,Manual,First Owner
Maruti Alto 800 LXI,Maruti,2017,275000,28000,Petrol,Manual,First Owner
Chevrolet Enjoy TCDi LTZ,Chevrolet,2013,300000,70000,Diesel,Manual,First Owner
Maruti Wagon R LXI,Maruti,2009,220000,120000,Petrol,Manual,First Owner
Maruti Omni E MPI,Maruti,2018,254999,25000,Petrol,Manual,First Owner
Maruti Vitara Brezza LDi,Maruti,2017,670000,70000,Diesel,Manual,First Owner
Fiat Palio 1.2 ELX,Fiat,2003,70000,50000,Petrol,Manual,Second Owner
Maruti Omni 8 Seater,Maruti,2012,150000,35000,Petrol,Manual,Second Owner
Hyundai i20 1.2 Asta,Hyundai,2018,730000,2388,Petrol,Manual,First Owner
Maruti Vitara Brezza LDi,Maruti,2017,650000,16200,Diesel,Manual,First Owner
Maruti Alto 800 CNG,Maruti,2019,330000,10000,CNG,Manual,Second Owner
